,0,1,2,3,4,5
40,3639,東証1部,(株)ボルテージ,恋愛シミュレーションゲーム先駆。携帯公式サイト向けやスマホ向けに配信。顧客は女性が中心,11:30,372
41,3640,東証1部,(株)電算,信越地盤の情報処理・システム開発中堅。首都圏へも展開。市役所など地方自治体向けに強み,09:28,"2,354"
42,3641,東証JQS,(株)パピレス,９５年富士通の社外ベンチャーとして設立。電子書籍のレンタルサイト「Ｒｅｎｔａ！」を運営,11:30,"1,184"
43,3645,マザーズ,(株)メディカルネット,インプラント、矯正など自由診療歯科向けサイト運営。Ｗｅｂマーケなど歯科経営支援も育成,11:30,495
44,3646,マザーズ,(株)駅探,経路検索サービス「駅探」運営。モバイル経由の個人課金、法人向けライセンス販売、広告を展開,11:03,450
45,3647,東証2部,(株)ジー・スリーホールディングス,太陽光発電所関連事業を展開。発電所の取得・売却、周辺機器販売、自社運営発電所の売電が主,11:27,358
46,3648,東証1部,ＡＧＳ(株),独立系情報システム会社。データセンター運用、ソフト開発が柱。年商１割超がりそなＨＤ向け,11:05,868
47,3649,東証1部,(株)ファインデックス,大学病院など大病院に医療用データ管理システムを提供。一般産業向けに文書管理システムも,11:30,"1,088"
48,3652,マザーズ,(株)ディジタルメディアプロフェッショナル,研究開発型ファブレス半導体企業。描画向け回路設計の使用許諾から、ＡＩ関連に軸足移行,11:18,"1,661"
49,3653,マザーズ,(株)モルフォ,手ぶれ補正などスマホ用画像・動画処理ソフトのロイヤルティが柱。ディープラーニング関連も,11:10,"1,203"
50,3655,東証1部,(株)ブレインパッド,ＡＩ活用した企業データ分析コンサルが主。売上高が人員数に比例。関連ソフト開発や販売も,11:24,"5,070"
51,3656,東証1部,ＫＬａｂ(株),スマホ向けゲームを開発・運営。アニメやマンガなど有力ＩＰの実績豊富。海外展開を強化中,11:30,531
52,3657,東証1部,ポールトゥウィン・ピットクルーホールディングス(株),ゲームなどのデバッグ（不具合検出、調整）・検証、ネット監視が主力、海外主要国に拠点,11:29,945
53,3658,東証1部,(株)イーブックイニシアティブジャパン,コミック中心の電子書籍販売が柱。紙書籍のＥＣも展開。ヤフーと集客、販促、技術開発等で連携,11:21,"4,720"
54,3659,東証1部,(株)ネクソン,韓国発祥、ＰＣ向けオンラインゲーム先駆、００年に日本進出。中国、韓国経由の売上が過半,11:30,"2,226"
55,3660,東証1部,(株)アイスタイル,２０〜３０代女性向け美容関連情報サイト「アットコスメ」運営、広告販売軸。国内外で小売り事業も,11:30,287
56,3661,東証1部,(株)エムアップホールディングス,社長がレコード会社出身のＩＴベンチャー。歌手等のファンサイト運営が柱。ＥＭＴＧ子会社化,11:29,"4,280"
57,3662,東証1部,(株)エイチーム,スマホゲームと比較情報サイト運営の２本柱。自転車ＥＣやプログラマー向けサイトも展開,11:30,"1,037"
58,3663,東証2部,アートスパークホールディングス(株),車載向けソフトは競合の欧州カンデラ社を１９年４月買収。イラスト制作ソフト販売が主軸に,11:30,907
59,3664,マザーズ,(株)モブキャストホールディングス,スマホゲームと栗原はるみの雑貨販売、企画制作が軸。２０年持分化のカーレースのトムスは売却,11:30,72
60,3665,東証1部,(株)エニグモ,服飾中心のソーシャル通販サービス「バイマ」運営。売り手、買い手双方からの手数料が利益源,11:30,"1,062"
61,3666,東証1部,(株)テクノスジャパン,ＳＡＰ中心にＥＲＰ導入を支援するＩＴコンサル。顧客管理システム（ＣＲＭ）が第２の柱に,11:27,507
62,3667,東証1部,(株)ｅｎｉｓｈ,スマホやソーシャルアプリ向けゲームを開発・運営。非ゲーム事業は譲渡しゲームに特化,11:21,372
63,3668,東証1部,(株)コロプラ,従来型携帯向け位置情報ゲームから出発。１１年にスマホゲームへ参入。ＶＲなど新分野を育成,11:30,676
64,3670,東証JQS,協立情報通信(株),通信交換機やサーバー、基幹業務ソフトの導入や運用提案する事業拡大中。ドコモ販売店経営も,10:54,"1,647"
